Class,Approximate Entropy: m=3 r=0.7,Conduction Delay: set_thresh=False,Energy Ratio by Chunks: num_segments=10 segment_focus=2,Index Mass Quantile: q=0.6,Location of Maximum Energy: M=14,Maximum Absolute Value,Normalised Standard Deviation,Number of Peaks: set_thresh=False,Number of Peaks: set_thresh=True,Peaks Between Min and Max,Percentage Fractionation: thresh=0.01,Power Spectral Entropy,Power Spectral Entropy Around Maximum Energy,Ratio Beyond 5xSTD,Sample Entropy Around Max Energy: width=60 r=0.025,Spectral Centroid,Spectral Centroid Around Maximum Energy,Standard Deviation
0,-0.00115072,7,0.106375983,0.06,6,-6356,0.033565124,-1,0,0,-2.666666667,-0.331104505,1.00169332,0,0.202477503,-3.809282079,2.096195456,0.033826707
0,-9.11E-05,6,0.064246951,0.053333333,5,-6345,0.03456665,-1,0,0,-2.666666667,-0.30643122,1.137408473,0,0.126911975,-3.494683352,2.321756922,0.034745071
0,-0.001085698,7,0.092739065,0.06,6,-5604,0.027103489,-1,0,0,-2.666666667,-0.340624754,0.707929198,0,0.231244262,-3.742084448,1.777805442,0.028154392
0,-0.001582418,7,0.076943371,0.053333333,5,-5613,0.032847718,-1,0,0,-3.333333333,-0.328423363,1.209491725,0,0.179760736,-3.466418597,2.462422871,0.032944775
0,-0.001069849,7,0.104144678,0.06,6,-5932,0.031839216,-1,0,0,-2.666666667,-0.349868181,1.105153156,0,0.19347957,-3.773304248,2.280286893,0.032160005
0,-0.001690269,8,0.137389528,0.06,7,-7024,0.037590367,-1,0,0,-3.333333333,-0.345095298,0.562184745,0,0.236485432,-3.102089933,1.403924494,0.038125747
0,0.007030358,9,0.19597165,0.066666667,8,-6765,0.040959642,0,0,0,-3.333333333,-0.268120497,0.505473185,0,0.198235755,-3.474140526,1.275933718,0.039798562
0,0.050371024,10,0.27934448,0.08,9,-8013,0.050362019,2,0,0,-2.666666667,-0.325511491,0.845609673,-0.013333333,0.64190517,-3.388899981,2.001778191,0.049030143
0,0.009988726,11,0.204305942,0.066666667,10,-10058,0.053138427,0,0,0,-1.333333333,-0.674439353,0.773277358,-0.013333333,0.373530979,-4.576875745,2.736514087,0.053450078
0,0.016641593,15,0.657455375,0.106666667,15,-11063,0.107023871,1,0,0,4.666666667,-0.774973449,0.501513259,-0.013333333,0.11879771,-5.094357786,1.79360983,0.109780137
0,0.033729784,23,0.488411698,0.146666667,24,-10762,0.083837218,0,0,0,-0.666666667,-0.659562715,-0.114833722,-0.013333333,0.13837552,-3.357724998,-0.058997318,0.082653609
0,0.02288745,11,0.346850911,0.106666667,11,-10725,0.092588532,1,0,0,-1.333333333,-0.666241812,0.441733185,-0.013333333,0.319075851,-4.344622397,1.551456411,0.094914256
0,-0.005845717,11,0.109967666,0.04,11,-6630,-0.060564976,0,0,0,4,-0.420474301,0.028034392,0.02,-0.052669255,-1.814068885,0.347161133,-0.060588666
0,0.004924381,10,0.14240966,0.04,11,-15535,-0.039493841,0,0,0,5.333333333,-0.955610861,-0.052705107,0.013333333,-0.007656168,-8.284810784,0.215876482,-0.039453839
0,0.007696671,10,0.119306223,0.04,11,-7775,-0.059185702,0,0,0,-2.666666667,-0.40915407,-0.083892272,0.013333333,-0.071519627,-0.704899567,0.115803055,-0.059202365
0,-0.003232693,9,0.088009299,0.04,9,-14966,-0.056317486,0,0,0,4.666666667,-0.777437347,-0.562683401,0.013333333,0.000832848,-6.111094929,-0.408827635,-0.056296949
0,0.003915615,8,0.104075993,0.04,8,-20570,-0.039502061,0,0,0,5.333333333,-1.032963792,-0.031798695,0.006666667,-0.009064844,-9.011783434,0.28798894,-0.039889591
0,-0.006466374,10,0.134692282,0.04,11,-14852,-0.045736183,0,0,0,5.333333333,-0.91243676,-0.054708334,0.006666667,0.031376498,-7.638326223,0.273832736,-0.045829471
0,-0.001577503,9,0.069847798,0.026666667,9,-7735,-0.072114501,0,0,0,4,-0.55399791,-0.030369456,0.013333333,0.08097816,-4.3176702,0.307457674,-0.072271881
0,0.02452691,10,0.09623663,0.033333333,10,-5475,-0.066264176,0,0,0,4.666666667,-0.66242065,-0.108663072,0.013333333,0.008886582,-5.490975033,0.185567072,-0.066272987
0,0.006088586,10,0.130321648,0.04,10,-15727,-0.033201922,0,0,0,4.666666667,-1.018309416,0.213315592,0.006666667,-0.047611913,-8.128832079,0.779131723,-0.033443007
